t_rel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated,v_wheel,w_wheel,cm_action,cm_polygon,x,y,yaw,v_act,w_act,scan_min,arbiter_active
1.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0013,0.0281,0.8869,-0.0025,0.7171,0.9515,nav
1.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0013,0.0282,0.9554,0.0021,0.6643,0.9434,nav
1.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0013,0.0285,1.0188,0.0023,0.614,0.9386,nav
1.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0015,0.0288,1.0792,0.0004,0.6093,0.9324,nav
1.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0023,0.029,1.1457,-0.0019,0.7179,0.9265,nav
1.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0038,0.0292,1.2277,-0.0067,0.863,0.9218,nav
1.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0066,0.0292,1.3167,-0.0089,0.9087,0.9155,nav
2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0109,0.0292,1.4106,-0.0083,0.9597,0.91,nav
2.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0167,0.0292,1.51,-0.0045,1.0183,0.9003,nav
2.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0241,0.0292,1.6147,0.0027,1.0435,0.8943,nav
2.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0324,0.0292,1.7152,0.0109,0.9811,0.9465,nav
2.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0397,0.0292,1.81,0.0157,0.9275,1.1569,nav
2.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0458,0.0292,1.8999,0.0176,0.8799,1.1692,nav
2.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0498,0.0292,1.9685,0.0174,0.8451,1.1701,nav
2.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0542,0.0292,2.0665,0.0144,0.7967,1.1705,nav
2.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0565,0.0292,2.1438,0.0092,0.7563,1.1729,nav
2.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0574,0.0288,2.2155,-0.0044,0.6853,1.1691,nav
3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0574,0.0284,2.2862,-0.0048,0.7289,1.1698,nav
3.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0574,0.0278,2.3624,-0.0005,0.7838,1.1601,nav
3.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0572,0.0278,2.4379,-0.0028,0.7321,1.1545,nav
3.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0571,0.0278,2.5079,0.0018,0.6786,1.1484,nav
3.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0574,0.0278,2.5726,0.0023,0.6276,1.1416,nav
3.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0577,0.0277,2.6332,0.001,0.6,1.1299,nav
3.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0579,0.0272,2.6968,-0.0013,0.6763,1.1299,nav
3.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,0.0259,2.7747,-0.0052,0.8486,1.1196,nav
3.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,0.0235,2.8625,-0.0085,0.8956,1.1196,nav
3.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,0.0196,2.9549,-0.0087,0.945,1.1087,nav
4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,0.0142,3.0527,-0.0059,1.0012,1.1015,nav
4.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,0.0073,-3.1266,0.0004,1.0611,1.095,nav
4.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,-0.001,-3.0243,0.0091,0.9973,1.2718,nav
4.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,-0.0086,-2.928,0.0146,0.9416,1.0185,nav
4.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,-0.0151,-2.8368,0.0174,0.8925,0.8934,nav
4.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,-0.0203,-2.7503,0.0175,0.8483,0.8055,nav
4.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,-0.0242,-2.6679,0.0154,0.8075,0.7417,nav
4.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0581,-0.0269,-2.5895,0.0112,0.7691,0.7243,nav
4.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0579,-0.0281,-2.5159,0.0002,0.7082,0.726,nav
4.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0576,-0.0282,-2.4462,-0.0018,0.7139,0.7297,nav
5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0568,-0.0282,-2.3715,-0.0035,0.7693,0.7348,nav
5.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0568,-0.0281,-2.2948,-0.002,0.7474,0.7365,nav
5.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0568,-0.0279,-2.2233,0.0012,0.6931,0.7443,nav
5.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0568,-0.0281,-2.1571,0.0022,0.6414,0.7508,nav
5.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0568,-0.0284,-2.0957,0.0017,0.5999,0.7568,nav
5.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0563,-0.0287,-2.0341,-0.0007,0.6436,0.7661,nav
5.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0553,-0.0289,-1.961,-0.0027,0.8055,0.7698,nav
5.7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0533,-0.0289,-1.8746,-0.008,0.8829,0.7777,nav
5.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0498,-0.0289,-1.7835,-0.009,0.9308,0.7859,nav
5.9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0448,-0.0289,-1.6872,-0.007,0.9849,0.7936,nav
6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0383,-0.0289,-1.585,-0.0017,1.0478,0.8051,nav
6.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0303,-0.0289,-1.4811,0.0069,1.0142,0.814,nav
6.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0223,-0.0289,-1.3832,0.0134,0.9562,0.8193,nav
6.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0155,-0.0289,-1.2907,0.0169,0.9055,0.8279,nav
6.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.01,-0.0289,-1.2029,0.0177,0.8601,0.837,nav
6.5,0.0,0.9298,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,-2.0057,-0.0289,-1.1194,0.0162,0.8184,0.8433,nav
6.6,0.0,0.4,0.0,0.9298,0.0,0.9298,0.0,0.9298,0.0,0.9298,,,-2.0027,-0.0289,-1.0408,0.0119,0.737,0.8548,nav
6.7,0.0,0.0,0.0,0.6098,0.0,0.6098,0.0,0.7698,0.0,0.7698,,,-2.0011,-0.0289,-0.9733,0.006,0.5885,0.8587,nav
6.8,0.0,0.0,0.0,0.2898,0.0,0.2898,0.0,0.2898,0.0,0.2898,,,-2.0006,-0.0289,-0.9295,0.0009,0.3241,0.8702,nav
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0289,-0.9098,0.0,0.1085,0.8702,nav
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,nav
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,none
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,none
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,none
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,none
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,none
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0005,-0.0288,-0.9087,0.0,0.0,0.8714,none
