t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
172.62,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
172.672,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
172.722,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
172.774,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
172.82,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
172.87,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
172.922,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
172.974,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.022,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.068,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.126,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.178,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.228,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.28,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.33,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.38,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.43,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.482,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.532,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.586,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.636,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.688,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.728,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.788,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.838,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.89,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.938,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
173.99,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.04,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.09,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.14,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.19,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.244,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.296,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.346,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.39,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.448,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.498,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.546,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.596,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.648,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.698,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.746,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.786,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.844,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.846,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.896,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.946,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
174.998,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.048,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.1,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.15,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.2,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.246,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
175.3,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,,
