t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
8.3,-1.9643,-1.9539,-1.7342,0.1455,-0.1805,0.1421,-0.1795,0.1421,0.1421,0.1421,0,,1.519,819,0,0.1579,2.2
8.4,-1.9658,-1.9595,-1.7411,0.1444,-0.1725,0.1421,-0.1795,0.1421,0.1421,0.1421,0,,1.519,819,0,0.1421,2.2
8.5,-1.9666,-1.9623,-1.7446,0.1444,-0.1721,0.1263,-0.0769,0.1263,0.1263,0.1263,0,,1.503,819,0,0.1263,2.2
8.6,-1.9674,-1.9651,-1.748,0.1445,-0.1718,0.1263,-0.1795,0.1263,0.1263,0.1263,0,,1.49,819,0,0.1263,2.2
8.7,-1.968,-1.9676,-1.7504,0.1291,-0.1204,0.1105,-0.1282,0.1263,0.1263,0.1263,0,,1.476,819,0,0.1105,2.2
8.8,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
8.9,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
9.0,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
9.1,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
9.2,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
9.3,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
9.4,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
9.5,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
9.6,-1.9748,-1.9934,-1.7754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1.474,819,0,0.1105,2.2
