t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
30.0,-2.2064,2.5028,2.5533,-0.0002,0.0173,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,73,0.0,35.6
30.1,-2.2064,2.5028,2.5536,-0.0002,0.0173,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,74,0.0,35.6
30.2,-2.2064,2.5028,2.554,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,74,0.0,35.6
30.3,-2.2064,2.5028,2.5551,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,74,0.0,35.6
30.4,-2.2064,2.5028,2.5554,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,74,0.0,35.6
30.5,-2.2064,2.5028,2.5556,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
30.6,-2.2064,2.5027,2.5581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.564,819,75,0.0,35.6
30.7,-2.2064,2.5027,2.5581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0.564,819,75,0.0,35.6
30.8,-2.2064,2.5027,2.5581,0.0,0.0,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
30.9,-2.2064,2.5027,2.5581,0.0,0.0,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.0,-2.2064,2.5027,2.5594,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.1,-2.2064,2.5027,2.5595,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.2,-2.2064,2.5027,2.5595,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.3,-2.2064,2.5027,2.5597,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.4,-2.2064,2.5027,2.5597,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.5,-2.2064,2.5027,2.5599,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.6,-2.2064,2.5027,2.5604,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,75,0.0,35.6
31.7,-2.2064,2.5027,2.5609,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,76,0.0,35.6
31.8,-2.2064,2.5027,2.5619,-0.0001,0.0058,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,77,0.0,35.6
