t_rel,x,y,yaw,v_act,w_act,v_nav,w_nav,v_smoothed,v_cmdvel,v_wheel,cm_action,cm_polygon,scan_min,dwb_n,dwb_illegal,dwb_best_vx,dwb_best_total
14.7,-2.0065,-2.8603,-2.1299,0.0045,0.0176,0.0158,0.0769,0.0158,0.0047,0.0047,2,PolygonSlow,0.563,819,110,0.0158,3.0
14.8,-2.0066,-2.8605,-2.1288,0.0045,0.0176,0.0158,0.0256,0.0158,0.0047,0.0047,2,PolygonSlow,0.562,819,120,0.0,4.4
14.9,-2.0069,-2.861,-2.1267,0.0045,0.0176,0.0,0.1795,0.0158,0.0047,0.0047,2,PolygonSlow,0.562,819,121,0.0,4.4
15.0,-2.007,-2.8613,-2.1253,0.0045,0.0176,0.0,0.1795,0.0158,0.0047,0.0047,2,PolygonSlow,0.563,819,122,0.0,5.8
15.1,-2.0073,-2.8618,-2.1243,0.0047,0.0059,0.0,-0.2308,0.0158,0.0047,0.0047,2,PolygonSlow,0.563,819,416,0.0,5.8
15.2,-2.0073,-2.8619,-2.1206,-0.0006,0.0412,0.0,-0.2308,0.0158,0.0047,0.0047,2,PolygonSlow,0.563,819,415,0.0,5.8
15.3,-2.0071,-2.8619,-2.1165,-0.0006,0.0414,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.562,819,415,0.0,5.8
15.4,-2.0071,-2.8619,-2.1167,0.0004,-0.0322,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.562,819,414,0.0,5.8
15.5,-2.0073,-2.8618,-2.1217,0.0007,-0.053,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.561,819,118,0.0,5.2
15.6,-2.0074,-2.8618,-2.1259,0.0007,-0.0529,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.56,819,117,0.0,5.2
15.7,-2.0077,-2.8618,-2.1385,-0.0003,0.0203,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.561,819,118,0.0,5.2
15.8,-2.0073,-2.8619,-2.124,-0.0006,0.0412,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,118,0.0,5.2
15.9,-2.0073,-2.8619,-2.1231,-0.0006,0.0412,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,121,0.0,5.2
16.0,-2.0073,-2.8619,-2.1215,-0.0006,0.0412,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,122,0.0,5.2
16.1,-2.007,-2.8619,-2.1133,-0.0001,0.0045,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,123,0.0,6.6
16.2,-2.007,-2.8618,-2.1135,-0.0,-0.0098,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,416,0.0,6.6
16.3,-2.0071,-2.8618,-2.1142,0.0004,-0.0323,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,415,0.0,6.6
16.4,-2.0071,-2.8618,-2.115,0.0002,-0.0397,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,121,0.0,5.2
16.5,-2.0074,-2.8618,-2.126,0.0001,-0.0014,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,119,0.0,5.2
16.6,-2.0074,-2.8618,-2.1256,-0.0002,0.0202,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,121,0.0,5.2
16.7,-2.0074,-2.8618,-2.125,-0.0001,0.0286,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,122,0.0,6.6
16.8,-2.0073,-2.8618,-2.1242,-0.0006,0.0411,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,416,0.0,6.6
16.9,-2.0073,-2.8618,-2.1233,-0.0006,0.0412,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,415,0.0,6.6
17.0,-2.0072,-2.8618,-2.1206,0.0008,-0.0531,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.561,819,415,0.0,6.6
17.1,-2.0075,-2.8618,-2.1312,0.0007,-0.0527,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.561,819,414,0.0,6.6
17.2,-2.0078,-2.8618,-2.1417,0.0007,-0.0524,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.56,819,413,0.0,6.6
17.3,-2.0078,-2.8618,-2.1448,0.0006,-0.0523,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.559,819,413,0.0,6.6
17.4,-2.0079,-2.8618,-2.1469,0.0006,-0.0522,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.559,819,412,0.0,6.6
17.5,-2.008,-2.8618,-2.1534,0.0,-0.0044,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.558,819,111,0.0,5.2
17.6,-2.008,-2.8618,-2.1522,-0.0004,0.0317,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.559,819,111,0.0,5.2
17.7,-2.0079,-2.8618,-2.1482,-0.0005,0.0405,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.559,819,113,0.0,5.2
17.8,-2.0078,-2.8618,-2.1417,-0.0005,0.0407,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.56,819,115,0.0,5.2
17.9,-2.0077,-2.8618,-2.1392,-0.0005,0.0408,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.56,819,116,0.0,5.2
18.0,-2.0077,-2.8618,-2.1376,-0.0005,0.0408,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.56,819,117,0.0,5.2
18.1,-2.0077,-2.8618,-2.1368,-0.0005,0.0408,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.561,819,118,0.0,5.2
18.2,-2.0076,-2.8618,-2.136,-0.0005,0.0409,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.561,819,118,0.0,5.2
18.3,-2.0076,-2.8618,-2.1351,-0.0005,0.0409,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,119,0.0,5.2
18.4,-2.0074,-2.8618,-2.1278,-0.0006,0.0411,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,121,0.0,5.2
18.5,-2.0071,-2.8618,-2.1149,-0.0001,0.0045,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,121,0.0,5.2
18.6,-2.0071,-2.8618,-2.1149,-0.0001,0.0045,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,123,0.0,6.6
18.7,-2.0073,-2.8618,-2.1224,0.0002,-0.0163,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,122,0.0,5.2
18.8,-2.0072,-2.8618,-2.1193,-0.0006,0.0413,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,509,0.0,5.2
18.9,-2.0072,-2.8618,-2.1193,-0.0006,0.0413,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,5.2
19.0,-2.007,-2.8618,-2.1135,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
19.1,-2.007,-2.8618,-2.1129,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
19.2,-2.007,-2.8618,-2.1123,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
19.3,-2.007,-2.8618,-2.1117,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,511,0.0,6.6
19.4,-2.007,-2.8618,-2.1111,-0.0001,0.0059,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,511,0.0,6.6
19.5,-2.007,-2.8618,-2.1134,0.0007,-0.053,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.564,819,511,0.0,6.6
19.6,-2.0071,-2.8618,-2.1145,0.0008,-0.0533,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.563,819,123,0.0,6.6
19.7,-2.0071,-2.8618,-2.1155,0.0008,-0.0532,0.0,-0.2308,0.0,0.0,0.0,2,PolygonSlow,0.562,819,122,0.0,6.6
19.8,-2.0071,-2.8618,-2.1166,0.0008,-0.0532,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,121,0.0,5.2
19.9,-2.0071,-2.8618,-2.1177,0.0008,-0.0532,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,507,0.0,5.2
20.0,-2.0072,-2.8618,-2.1187,0.0008,-0.0531,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.562,819,509,0.0,5.2
20.1,-2.0073,-2.8618,-2.123,0.0007,-0.053,0.0,0.1795,0.0,0.0,0.0,2,PolygonSlow,0.563,819,510,0.0,5.2
20.2,-2.0074,-2.8618,-2.1262,0.0002,-0.0162,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.563,819,511,0.0,6.6
20.3,-2.0074,-2.8618,-2.1253,-0.0003,0.0204,0.0,0.0256,0.0,0.0,0.0,2,PolygonSlow,0.564,819,510,0.0,6.6
