t_s,stamp,gt_x,gt_y,gt_yaw,goal_map_x,goal_map_y,n_valid,n_in_stop,n_in_slow,n_in_limit,d_min_base_m,r_min_lidar_m,monitor_action,monitor_polygon,v_nav,w_nav,v_smoothed,v_out,v_wheel
129.112,222.9,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.213,223.0,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.312,223.1,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.409,223.2,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.511,223.3,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.608,223.4,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.71,223.5,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.809,223.6,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
129.91,223.7,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
130.017,223.8,-3.4558,2.7805,-1.8124,-0.019,-0.01,480,6,116,277,0.2445,0.2133,STOP,PolygonStop,0.2842,-0.0256,0.2842,0.0,0.0
