t,v_wheel,w_wheel,v_nav,w_nav,v_smoothed,w_smoothed,v_cmdvel,w_cmdvel,v_gated,w_gated
123.764,0.0,1.0,0.0,1.0,0.0,0.48,0.0,0.64,,
123.768,0.0,0.48,0.0,0.48,0.0,0.48,0.0,0.48,,
123.83,0.0,0.31999999999999995,0.0,0.31999999999999995,0.0,0.31999999999999995,0.0,0.31999999999999995,,
123.864,0.0,1.0,0.0,1.0,0.0,0.15999999999999995,0.0,0.31999999999999995,,
123.87,0.0,0.15999999999999995,0.0,0.15999999999999995,0.0,0.15999999999999995,0.0,0.15999999999999995,,
123.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
123.96,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,
124.014,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
124.052,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
124.066,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
124.1,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
124.152,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
124.162,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
124.208,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
124.248,0.0,0.16,0.0,0.16,0.0,0.16,0.0,0.16,,
124.252,0.0,1.0,0.0,1.0,0.0,0.16,0.0,0.16,,
124.308,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.352,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
124.362,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.406,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.452,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
124.468,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.508,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.548,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
124.576,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.616,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.648,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
124.656,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.706,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.748,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
124.754,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.81,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.84,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
124.846,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.908,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.936,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
124.952,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
124.992,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
125.024,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
125.05,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
125.086,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
125.13,0.0,1.0,0.0,1.0,0.0,0.32,0.0,0.32,,
125.146,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
125.188,0.0,0.32,0.0,0.32,0.0,0.32,0.0,0.32,,
